yourlist:M2021122392C7BAECDB1C5C413EE0E0348724B682392E97L	Entry	Entry name	Gene names
10090.ENSMUSP00000057563	O35930	GP1BA_MOUSE	Gp1ba
10090.ENSMUSP00000029624	Q810S1	MCUB_MOUSE	Mcub Ccdc109b
10090.ENSMUSP00000036541	Q9CQA1	TPPC5_MOUSE	Trappc5
10090.ENSMUSP00000083589	Q8BG84	LAIR1_MOUSE	Lair1
10090.ENSMUSP00000022803	O55234	PSB5_MOUSE	Psmb5
10090.ENSMUSP00000005504	Q7TPD1	FBX11_MOUSE	Fbxo11
10090.ENSMUSP00000033169	P97817	CDR2_MOUSE	Cdr2
10090.ENSMUSP00000047570	Q9ERI5	JMJD6_MOUSE	Jmjd6 Kiaa0585 Ptdsr
10090.ENSMUSP00000076960	P10755	ZFP14_MOUSE	Zfp14 Kiaa1559 Krox-9 Zfp-14
10090.ENSMUSP00000130560	A1IGU4	ARH37_MOUSE	Arhgef37
10090.ENSMUSP00000031226	O55189	AMBN_MOUSE	Ambn
10090.ENSMUSP00000025802	Q9CR24	NUDT8_MOUSE	Nudt8
10090.ENSMUSP00000024873	Q8C407	YIPF4_MOUSE	Yipf4
10090.ENSMUSP00000078649	A0A1L1SQT2	A0A1L1SQT2_MOUSE	Olfr1130
10090.ENSMUSP00000029769	O09172	GSH0_MOUSE	Gclm Glclr
10090.ENSMUSP00000050279	Q6P8G8	ORAI3_MOUSE	Orai3 Tmem142c
10090.ENSMUSP00000093825	A7RDN6	RNLS_MOUSE	Rnls
10090.ENSMUSP00000028892	Q91VA7	Q91VA7_MOUSE	Idh3b
10090.ENSMUSP00000138219	P15501	SPBP_MOUSE	Sbp
10090.ENSMUSP00000132644	O89009	O89009_MOUSE	Magea5
10090.ENSMUSP00000132436	Q5HZG9	ZN488_MOUSE	Znf488 Gm1206 Zfp488
10090.ENSMUSP00000111471	Q99K01	PDXD1_MOUSE	Pdxdc1
10090.ENSMUSP00000138387	S4R1L6	S4R1L6_MOUSE	Mzf1
10090.ENSMUSP00000134062	Q8R2V2	IFFO2_MOUSE	Iffo2
10090.ENSMUSP00000025906	O08580	ERR1_MOUSE	Esrra Err1 Estrra Nr3b1
10090.ENSMUSP00000040001	Q8VIG6	TRAIP_MOUSE	Traip Trip
10090.ENSMUSP00000047823	Q8VD70	Q8VD70_MOUSE	Tnfrsf25
10090.ENSMUSP00000030028	Q9D1Q6	ERP44_MOUSE	Erp44 Kiaa0573 Txndc4
10090.ENSMUSP00000131843	Q8R4P9	MRP7_MOUSE	Abcc10 Mrp7
10090.ENSMUSP00000006750	O08576	RUN3A_MOUSE	Rundc3a Rap2ip Rpip8
10090.ENSMUSP00000048313	Q8BG54	SPTC3_MOUSE	Sptlc3 Sptlc2l
10090.ENSMUSP00000025003	Q04886	SOX8_MOUSE	Sox8 Sox-8
10090.ENSMUSP00000124709	G3XA20	G3XA20_MOUSE	Grip2
10090.ENSMUSP00000076203	Q8VGF0	Q8VGF0_MOUSE	Olfr126
10090.ENSMUSP00000042578	Q60571	CRHBP_MOUSE	Crhbp
10090.ENSMUSP00000041428	Q8BM39	PRP18_MOUSE	Prpf18 Prp18
10090.ENSMUSP00000110339	Q8K0L9	ZBT20_MOUSE	Zbtb20 Zfp288
10090.ENSMUSP00000080646	Q7TRE0	Q7TRE0_MOUSE	Olfr885
10090.ENSMUSP00000000500	P31240	PDGFB_MOUSE	Pdgfb Sis
10090.ENSMUSP00000005114	Q9D2W0	FXYD4_MOUSE	Fxyd4
10090.ENSMUSP00000029438	O88904	HIPK1_MOUSE	Hipk1 Kiaa0630 Myak Nbak2
10090.ENSMUSP00000057282	Q8R554	OTU7A_MOUSE	Otud7a Cezanne2 Otud7
10090.ENSMUSP00000034377	Q8VEB4	PAG15_MOUSE	Pla2g15 Lypla3
10090.ENSMUSP00000004784	Q08093	CNN2_MOUSE	Cnn2
10090.ENSMUSP00000052166	Q811B5	PRR3_MOUSE	Prr3 Cat56
10090.ENSMUSP00000071611	Q5QD08	TAA7F_MOUSE	Taar7f
10090.ENSMUSP00000019109	P68510	1433F_MOUSE	Ywhah
10090.ENSMUSP00000067135	Q9CQL7	MOFA1_MOUSE	Mrfap1 Pam14 MNCb-1039
10090.ENSMUSP00000030862	Q6PAL1	DRAXI_MOUSE	Draxin
10090.ENSMUSP00000082822	Q9WV32	ARC1B_MOUSE	Arpc1b
10090.ENSMUSP00000001258	Q8VDF2	UHRF1_MOUSE	Uhrf1 Np95
10090.ENSMUSP00000118809	B8JJZ9	B8JJZ9_MOUSE	Zfp563
10090.ENSMUSP00000102976	Q8BHZ4	ZN592_MOUSE	Znf592 Kiaa0211 Zfp592
10090.ENSMUSP00000026414	O88673	DGKA_MOUSE	Dgka Dagk1
10090.ENSMUSP00000079190	Q8VEZ3	Q8VEZ3_MOUSE	Olfr1265
10090.ENSMUSP00000112616	Q8BHY3	ANO1_MOUSE	Ano1 Tmem16a
10090.ENSMUSP00000005678	P20693	FCER2_MOUSE	Fcer2 Fcer2a
10090.ENSMUSP00000003622	Q8JZU2	TXTP_MOUSE	Slc25a1
10090.ENSMUSP00000002979	P02469	LAMB1_MOUSE	Lamb1 Lamb-1 Lamb1-1
10090.ENSMUSP00000102246	Q9Z307	KCJ16_MOUSE	Kcnj16
10090.ENSMUSP00000006991	O88704	HCN1_MOUSE	Hcn1 Bcng1 Hac2
10090.ENSMUSP00000099837	Q8VEM1	GOLI_MOUSE	Rnf130 G1rp
10090.ENSMUSP00000035271	Q8C0F9	PRS35_MOUSE	Prss35
10090.ENSMUSP00000055137	Q6IYF8	OXGR1_MOUSE	Oxgr1 Gpr99
10090.ENSMUSP00000057095	Q8K004	SPAT2_MOUSE	Spata2
10090.ENSMUSP00000082577	P00756	K1KB3_MOUSE	Klk1b3 Klk-3 Klk3 Ngfg
10090.ENSMUSP00000003971	O88951	LIN7B_MOUSE	Lin7b Mals2 Veli2
10090.ENSMUSP00000035440	Q8BW88	PKHS1_MOUSE	Plekhs1
10090.ENSMUSP00000089237	F8VQN3	GPR31_MOUSE	Gpr31 Gpr31b Gpr31c
10090.ENSMUSP00000045487	Q9CR99	Q9CR99_MOUSE	4930544G11Rik
10090.ENSMUSP00000002925	Q8BUY5	TIDC1_MOUSE	Timmdc1
10090.ENSMUSP00000074514	Q8VFJ3	Q8VFJ3_MOUSE	Olfr836
10090.ENSMUSP00000064718	O35902	DSG3_MOUSE	Dsg3
10090.ENSMUSP00000025903	Q9Z2B9	KS6A4_MOUSE	Rps6ka4 Msk2
10090.ENSMUSP00000067581	Q921I6	SH3B4_MOUSE	Sh3bp4
10090.ENSMUSP00000028017	Q91YR5	EFNMT_MOUSE	Mettl13 EEF1AKNMT FEAT
10090.ENSMUSP00000042658	Q5EBP8	Q5EBP8_MOUSE	Hnrnpa1 Hnrpa1
10090.ENSMUSP00000060199	A2AAE1	K1109_MOUSE	Kiaa1109 Fsa Kiaa1371
10090.ENSMUSP00000037719	P82198	BGH3_MOUSE	Tgfbi
10090.ENSMUSP00000033771	O35599	OPSG_MOUSE	Opn1mw Gcp
10090.ENSMUSP00000023468	Q9JLI7	SPAG6_MOUSE	Spag6 Pf16
10090.ENSMUSP00000124423	Q80W22	THNS2_MOUSE	Thnsl2
10090.ENSMUSP00000066137	Q99KC7	SMAGP_MOUSE	Smagp
10090.ENSMUSP00000091053	Q5NCI0	URGCP_MOUSE	Urgcp Urg4
10090.ENSMUSP00000073811	Q8VEU6	Q8VEU6_MOUSE	Olfr1484
10090.ENSMUSP00000116929	P0C1P0	PIGY_MOUSE	Pigy Pigyl
10090.ENSMUSP00000076188	B1ATY8	B1ATY8_MOUSE	Arl16
10090.ENSMUSP00000080164	Q61180	SCNNA_MOUSE	Scnn1a
10090.ENSMUSP00000033149	Q9D2L5	CPXM2_MOUSE	Cpxm2 Cpx2
10090.ENSMUSP00000021142	Q64518	AT2A3_MOUSE	Atp2a3
10090.ENSMUSP00000074340	D3YXG0	HMCN1_MOUSE	Hmcn1
10090.ENSMUSP00000007245	Q9JHA8	VWA7_MOUSE	Vwa7 D17h6s56e-3 G7c
10090.ENSMUSP00000096498	Q5G866	DFA23_MOUSE	Defa23 Defcr23
10090.ENSMUSP00000126345	Q99M28	RNPS1_MOUSE	Rnps1
